latitude,housing_median_age,population,households,median_income,ocean_proximity,median_house_value,all_rooms_amount
37.81,52,200,87,1.5208,NEAR BAY,112500,437
37.81,52,346,155,0.8075,NEAR BAY,137500,550
37.81,35,467,169,1.8088,NEAR BAY,118800,1132
37.81,52,377,115,2.4083,NEAR BAY,98200,916
37.81,40,582,380,0.977,NEAR BAY,118800,1331
37.81,10,546,330,0.76,NEAR BAY,162500,1223
37.8,10,125,39,0.9722,NEAR BAY,137500,147
37.8,52,396,85,1.2434,NEAR BAY,500001,327
37.8,16,800,362,2.0938,NEAR BAY,162500,1386
37.8,52,904,88,0.8668,NEAR BAY,137500,302
37.8,52,191,34,0.75,NEAR BAY,162500,127
37.79,27,718,302,2.6354,NEAR BAY,187500,1402
37.8,39,1327,467,1.8477,NEAR BAY,179200,2338
37.8,36,3469,2323,2.0096,NEAR BAY,130000,7806
37.82,31,2048,1180,2.8345,NEAR BAY,183800,5927
37.81,29,202,91,2.0062,NEAR BAY,125000,442
37.82,22,2024,1250,1.2185,NEAR BAY,170000,4952
37.82,37,1838,980,2.6104,NEAR BAY,193100,4718
37.81,29,2304,1250,2.4912,NEAR BAY,257800,6070
37.81,28,2563,1497,3.2177,NEAR BAY,273400,7409
37.81,39,389,228,3.125,NEAR BAY,237500,1096
37.81,52,895,613,2.5795,NEAR BAY,350000,2856
37.81,34,2689,1789,2.8406,NEAR BAY,335700,7785
37.82,52,674,244,4.9306,NEAR BAY,313400,1734
37.81,52,709,456,3.2727,NEAR BAY,268500,2508
37.81,52,686,422,3.1691,NEAR BAY,259400,2218
37.82,52,1444,718,3.9,NEAR BAY,275700,4232
37.82,28,1520,802,3.9063,NEAR BAY,225000,4192
37.82,52,550,253,5.0917,NEAR BAY,262500,1713
37.82,32,1806,1022,2.6429,NEAR BAY,218500,4907
37.82,26,1749,1217,3.0233,NEAR BAY,255000,5155
37.83,52,939,519,3.1484,NEAR BAY,224100,2935
37.83,35,675,422,3.4722,NEAR BAY,243100,2041
37.83,52,534,291,3.1429,NEAR BAY,231600,1566
37.83,28,2558,1661,2.4234,NEAR BAY,218500,6772
37.83,52,1786,1037,3.0897,NEAR BAY,234100,5295
37.84,50,970,373,5.8596,NEAR BAY,327600,2914
37.84,47,1098,485,5.2868,NEAR BAY,347600,3629
37.83,41,794,376,5.956,NEAR BAY,366100,2982
37.85,37,98,47,4.9643,NEAR BAY,335000,388
37.85,52,1061,403,6.3434,NEAR BAY,373600,3211
37.84,52,1177,555,5.1773,NEAR BAY,389500,4103
37.85,52,901,367,7.2354,NEAR BAY,391100,2977
37.85,28,2031,956,5.457,NEAR BAY,337300,6335
37.84,50,1031,479,7.5,NEAR BAY,295200,3408
37.84,44,1358,597,6.0194,NEAR BAY,292300,4021
37.83,40,1616,654,7.5544,NEAR BAY,411500,5665
37.84,30,844,343,6.0666,NEAR BAY,311500,2557
37.84,34,1140,496,7.0548,NEAR BAY,325900,3528
37.84,18,533,194,11.6017,NEAR BAY,392600,1827
37.84,35,1072,443,7.4882,NEAR BAY,319300,3325
37.83,34,1627,766,6.8976,NEAR BAY,333300,5853
37.83,28,463,190,8.2049,NEAR BAY,335200,1510
37.83,26,542,211,8.401,NEAR BAY,351200,1812
37.83,29,661,269,6.8538,NEAR BAY,368900,2062
37.82,32,635,263,8.317,NEAR BAY,365900,2099
37.82,37,420,176,7.0175,NEAR BAY,366700,1410
37.82,39,1265,500,6.3302,NEAR BAY,362800,4304
37.81,30,126,52,6.3624,NEAR BAY,483300,330
37.82,52,813,350,7.0549,NEAR BAY,331400,2708
37.81,45,1067,426,6.7851,NEAR BAY,323500,3400
37.8,50,1260,552,2.8929,NEAR BAY,216700,3438
37.8,38,951,487,3.0812,NEAR BAY,233100,2789
37.81,52,510,224,5.2402,NEAR BAY,296400,1601
37.81,52,765,308,6.5217,NEAR BAY,273700,2306
37.8,52,1129,460,3.2632,NEAR BAY,227700,2648
37.8,52,1073,441,3.0298,NEAR BAY,199600,2750
37.8,52,1185,515,4.5428,NEAR BAY,239800,3262
37.81,52,756,340,4.072,NEAR BAY,270100,2363
37.81,52,1034,521,5.3509,NEAR BAY,302100,3480
37.8,52,787,459,3.1603,NEAR BAY,269500,2519
37.81,52,612,213,4.7708,NEAR BAY,314700,1662
37.81,52,1021,380,8.1564,NEAR BAY,390100,3329
37.81,52,861,258,8.8793,NEAR BAY,410300,2607
37.81,52,953,327,6.8591,NEAR BAY,352400,2798
37.81,52,634,256,6.0302,NEAR BAY,287300,1728
37.81,52,878,352,7.508,NEAR BAY,348700,3179
37.81,52,918,483,2.7477,NEAR BAY,243800,2643
37.8,52,360,175,2.1944,NEAR BAY,211500,1056
37.8,52,1197,488,3.0149,NEAR BAY,218400,2597
37.81,52,1048,518,3.675,NEAR BAY,269900,3015
37.81,46,1373,747,3.225,NEAR BAY,218800,4067
37.8,42,1715,1015,2.9345,NEAR BAY,225000,5185
37.8,43,1359,722,2.1429,NEAR BAY,250000,3156
37.8,41,1062,413,1.6121,NEAR BAY,171400,1940
37.8,29,1335,773,1.3929,NEAR BAY,193800,3332
37.79,27,1171,429,2.3173,NEAR BAY,125000,2124
37.79,45,1475,460,1.7772,NEAR BAY,97500,2312
37.79,50,742,196,2.6458,NEAR BAY,125000,817
37.79,52,1086,363,2.181,NEAR BAY,138800,1730
37.8,36,1645,543,2.2303,NEAR BAY,116700,2284
37.8,43,1710,644,1.6504,NEAR BAY,151800,2991
37.8,52,731,228,2.2697,NEAR BAY,127000,1224
37.8,52,1118,347,2.1563,NEAR BAY,128600,1964
37.8,52,1006,335,2.1348,NEAR BAY,140600,1984
37.8,47,1213,554,2.6292,NEAR BAY,182700,2634
37.8,52,772,257,2.3833,NEAR BAY,146900,1481
37.8,52,1321,401,2.957,NEAR BAY,122800,2223
37.8,49,1487,677,2.5238,NEAR BAY,169300,3587
37.8,52,488,186,1.9375,NEAR BAY,126600,967
37.8,51,949,392,1.9028,NEAR BAY,127900,2004
37.8,50,1149,415,2.25,NEAR BAY,123500,2226
37.8,52,844,280,2.3929,NEAR BAY,111900,1551
37.79,43,4367,1231,2.1917,NEAR BAY,112800,7307
37.79,52,1659,412,2.9357,NEAR BAY,107900,2178
37.79,30,1011,263,1.8854,NEAR BAY,137500,1263
37.79,39,1464,389,2.1638,NEAR BAY,105500,1900
37.79,47,1237,303,2.125,NEAR BAY,95500,1767
37.79,52,647,168,3.375,NEAR BAY,116100,854
37.79,43,1284,357,2.2542,NEAR BAY,112200,2002
37.79,51,228,55,2.1,NEAR BAY,75000,218
37.79,39,381,123,1.6,NEAR BAY,112500,590
37.79,52,846,227,3.625,NEAR BAY,125000,1139
37.8,20,1659,676,1.6929,NEAR BAY,115000,3152
37.77,52,520,138,1.6471,NEAR BAY,95000,519
37.77,52,866,259,2.59,NEAR BAY,96400,1438
37.77,52,612,183,2.57,NEAR BAY,72000,975
37.78,52,415,126,2.6429,NEAR BAY,71300,618
37.78,52,994,213,3.0257,NEAR BAY,80800,1077
37.78,50,1525,477,1.4886,NEAR BAY,128800,2450
37.78,43,1506,438,1.9338,NEAR BAY,112500,1892
37.78,52,1008,255,1.4844,NEAR BAY,119400,1244
37.78,44,2813,751,1.6009,NEAR BAY,118100,3165
37.79,48,1481,343,2.0375,NEAR BAY,122500,2092
37.79,49,859,219,2.293,NEAR BAY,106300,1392
37.79,37,1608,523,2.1494,NEAR BAY,132500,2917
37.79,30,425,140,1.6198,NEAR BAY,122700,755
37.79,40,564,184,1.3281,NEAR BAY,113300,1129
37.79,44,961,272,3.5156,NEAR BAY,109500,1801
37.79,52,2273,685,3.9048,NEAR BAY,164700,4114
37.79,52,600,195,3.0893,NEAR BAY,125000,952
37.79,46,1647,527,2.6042,NEAR BAY,124700,2941
37.79,49,1201,424,2.5,NEAR BAY,136700,2276
37.79,38,2167,659,2.7969,NEAR BAY,141700,3760
37.79,29,939,340,2.8321,NEAR BAY,150000,2016
37.79,47,859,292,2.9583,NEAR BAY,138800,1850
37.79,34,1517,516,2.8365,NEAR BAY,139200,2921
37.79,35,1143,386,2.875,NEAR BAY,143800,2154
37.8,39,1109,464,3.0682,NEAR BAY,156500,2503
37.8,39,1221,446,3.0757,NEAR BAY,151000,2465
37.8,43,1115,455,4.9559,NEAR BAY,273000,3544
37.8,52,706,268,4.7721,NEAR BAY,217100,1840
37.8,52,1883,706,3.4861,NEAR BAY,187100,4230
37.8,41,804,340,5.1184,NEAR BAY,239600,2424
37.8,48,506,252,4.0977,NEAR BAY,229700,1584
37.8,48,610,238,4.744,NEAR BAY,257300,1953
37.8,46,768,332,4.2727,NEAR BAY,246900,2279
37.79,50,462,184,2.9844,NEAR BAY,179900,1163
37.79,40,667,235,4.1739,NEAR BAY,169600,1316
37.8,46,1059,399,3.8487,NEAR BAY,203300,2446
37.8,52,637,277,4.0114,NEAR BAY,263400,2084
37.79,45,1106,454,4.6563,NEAR BAY,231800,3169
37.79,28,1737,669,2.9297,NEAR BAY,140500,3905
37.79,35,1009,390,2.3036,NEAR BAY,126000,2261
37.79,49,737,210,2.6667,NEAR BAY,122000,1077
37.79,44,1354,491,2.619,NEAR BAY,134700,2073
37.79,45,1530,474,2.4167,NEAR BAY,139400,2648
37.79,45,1410,480,2.7788,NEAR BAY,115400,2549
37.78,46,1390,569,2.7352,NEAR BAY,137300,2747
37.78,52,1065,269,1.8472,NEAR BAY,137000,1777
37.78,52,792,245,2.6583,NEAR BAY,142600,1280
37.78,49,779,245,3.0536,NEAR BAY,137500,1142
37.78,44,2269,610,2.3906,NEAR BAY,111700,3678
37.78,43,1227,407,1.7188,NEAR BAY,126800,2162
37.78,47,753,241,2.625,NEAR BAY,111300,1129
37.77,40,547,135,2.8015,NEAR BAY,114800,608
37.78,50,1807,440,1.7276,NEAR BAY,102300,2249
37.78,44,1700,495,2.0801,NEAR BAY,131900,2192
37.78,51,1543,393,2.489,NEAR BAY,119100,2100
37.76,52,1085,300,1.7546,NEAR BAY,80600,1734
37.77,52,353,137,4.0904,NEAR BAY,80600,764
37.77,52,473,149,2.6765,NEAR BAY,88800,898
37.77,49,1621,483,2.4338,NEAR BAY,102400,2770
37.77,46,1183,354,2.3309,NEAR BAY,98700,1609
37.77,43,836,277,2.2604,NEAR BAY,100000,1345
37.77,42,900,263,1.8039,NEAR BAY,92300,1186
37.77,39,1888,537,2.2562,NEAR BAY,94800,3286
37.77,41,1024,341,2.0562,NEAR BAY,102000,1962
37.78,52,1225,423,3.5398,NEAR BAY,158400,2743
37.78,39,1071,376,3.1167,NEAR BAY,121600,2151
37.78,50,1128,378,2.5401,NEAR BAY,129100,2270
37.77,43,1537,484,2.898,NEAR BAY,121400,2932
37.78,44,1240,393,2.3125,NEAR BAY,102800,2143
37.78,52,469,168,2.875,NEAR BAY,160000,1206
37.77,52,1086,425,3.3715,NEAR BAY,143900,2598
37.77,52,1144,417,3.5114,NEAR BAY,151200,2774
37.78,52,1109,375,4.3125,NEAR BAY,164400,2907
37.78,52,984,369,3.22,NEAR BAY,156500,2595
37.78,33,575,47,3.875,NEAR BAY,225000,173
37.78,49,496,209,5.2328,NEAR BAY,174200,1388
37.78,52,555,190,3.7262,NEAR BAY,166900,1263
37.78,45,869,327,4.5893,NEAR BAY,163500,2098
37.79,39,236,106,5.2578,NEAR BAY,253000,712
37.79,41,626,214,7.0875,NEAR BAY,240700,1644
37.79,46,922,329,3.9712,NEAR BAY,208100,2496
37.79,47,582,256,2.9514,NEAR BAY,198100,1472
37.79,50,546,201,2.6667,NEAR BAY,172800,1171
37.81,37,620,266,5.4446,NEAR BAY,336700,1905
37.8,34,442,195,6.2838,NEAR BAY,318200,1550
37.8,23,955,328,6.7527,NEAR BAY,285800,2653
37.77,24,916,324,7.0712,NEAR BAY,293000,2776
37.79,22,4985,1967,5.9849,NEAR BAY,371000,14890
37.78,42,651,267,3.6875,NEAR BAY,157300,1784
37.77,30,1704,703,2.875,NEAR BAY,135300,4072
37.78,43,1085,407,3.4205,NEAR BAY,136700,2425
37.78,50,713,284,3.2984,NEAR BAY,160700,1964
37.78,49,468,181,3.875,NEAR BAY,140600,1070
37.78,52,296,121,4.175,NEAR BAY,144000,781
37.77,48,446,180,4.7708,NEAR BAY,156300,1171
37.77,45,968,384,3.5739,NEAR BAY,176000,2721
37.77,39,857,316,3.0958,NEAR BAY,145800,1932
37.77,39,912,322,3.3958,NEAR BAY,141900,1954
37.77,31,1360,452,1.871,NEAR BAY,90700,2957
37.76,41,1074,355,1.9356,NEAR BAY,90600,1961
37.76,47,965,382,2.1842,NEAR BAY,107900,2531
37.76,37,933,320,2.2917,NEAR BAY,107000,1933
37.76,38,987,354,2.4333,NEAR BAY,98200,2161
37.76,50,907,246,1.9479,NEAR BAY,89500,1448
37.76,52,447,165,3.9063,NEAR BAY,93800,929
37.76,49,1299,451,1.8407,NEAR BAY,96700,2760
37.77,27,396,157,2.0786,NEAR BAY,97500,1145
37.77,42,877,268,2.8125,NEAR BAY,97300,1437
37.76,43,1111,367,1.8913,NEAR BAY,91200,2426
37.76,49,790,269,1.7056,NEAR BAY,91400,1650
37.77,52,1479,554,2.2768,NEAR BAY,96200,3291
37.77,51,1173,438,3.2552,NEAR BAY,120100,2578
37.77,52,1029,366,2.0556,NEAR BAY,100000,2110
37.76,52,1030,350,2.4659,NEAR BAY,94700,2415
37.76,47,826,279,1.75,NEAR BAY,85700,1375
37.77,41,1412,454,2.0469,NEAR BAY,89300,2546
37.77,45,1132,349,2.7159,NEAR BAY,101400,2245
37.76,41,522,159,1.2083,NEAR BAY,72500,1128
37.76,45,630,237,1.925,NEAR BAY,74100,1233
37.75,36,531,133,1.5809,NEAR BAY,70000,738
37.76,37,1925,667,1.4097,NEAR BAY,84600,3416
37.76,38,1144,351,0.7683,NEAR BAY,81800,1863
37.75,19,1481,520,1.3194,NEAR BAY,81400,2772
37.75,28,435,162,0.8012,NEAR BAY,81800,1045
37.76,26,984,303,1.9479,NEAR BAY,85800,1590
37.74,36,567,159,1.1765,NEAR BAY,87100,1059
37.74,42,380,123,2.3456,NEAR BAY,83500,695
37.73,44,825,244,2.1538,NEAR BAY,79700,1319
37.74,43,417,155,2.5139,NEAR BAY,83400,854
37.73,45,801,287,1.2625,NEAR BAY,84700,1819
37.73,42,646,198,2.9063,NEAR BAY,80000,1124
37.73,43,855,285,2.5192,NEAR BAY,76400,1684
37.73,44,435,136,2.1111,NEAR BAY,79700,667
37.73,42,2736,780,2.455,NEAR BAY,82400,4948
37.74,41,1481,414,2.4028,NEAR BAY,97700,2058
37.74,47,327,137,2.15,NEAR BAY,97200,597
37.74,43,494,179,2.4776,NEAR BAY,101600,1011
37.73,43,1231,341,2.1587,NEAR BAY,86500,1844
37.74,35,323,109,1.8438,NEAR BAY,90500,630
37.74,46,749,225,3.0298,NEAR BAY,107600,1252
37.74,46,693,178,2.25,NEAR BAY,84200,952
37.74,46,1339,354,2.2467,NEAR BAY,88900,2494
37.75,45,282,80,4.0469,NEAR BAY,80700,406
37.75,46,621,195,1.325,NEAR BAY,87100,1159
37.75,45,901,260,2.1731,NEAR BAY,82000,1251
37.75,36,482,150,1.9167,NEAR BAY,82800,1389
37.75,43,652,213,2.069,NEAR BAY,84600,1269
37.75,36,651,166,1.712,NEAR BAY,82100,1261
37.76,33,999,286,2.5625,NEAR BAY,89300,1587
37.75,43,907,306,1.9821,NEAR BAY,98300,1907
37.75,41,828,230,2.5043,NEAR BAY,92300,1528
37.75,44,763,254,2.3281,NEAR BAY,88800,1466
37.75,48,935,349,1.4375,NEAR BAY,90000,2141
37.76,45,1437,484,2.5122,NEAR BAY,95500,2813
37.75,38,1516,482,1.5625,NEAR BAY,91700,3081
37.75,47,597,185,3.1587,NEAR BAY,100400,1209
37.76,40,949,342,1.8426,NEAR BAY,94800,2028
37.76,46,881,302,4.6696,NEAR BAY,164300,2134
37.76,36,1438,519,2.4598,NEAR BAY,155500,3355
37.76,39,763,270,6.0749,NEAR BAY,196900,2109
37.77,27,1297,355,4.8304,NEAR BAY,279100,2594
37.76,34,545,211,5.5701,NEAR BAY,252800,1744
37.76,26,1222,533,5.37,NEAR BAY,275400,3757
37.75,33,808,219,6.86,NEAR BAY,250000,2070
37.75,28,329,109,7.6923,NEAR BAY,329800,905
37.75,36,299,109,4.0313,NEAR BAY,195500,795
37.75,33,579,202,6.8323,NEAR BAY,255900,1534
37.75,30,137,50,4.975,NEAR BAY,311100,468
37.75,36,229,93,5.3602,NEAR BAY,330000,861
37.74,41,1476,648,5,NEAR BAY,248900,5066
37.75,46,429,154,2.925,NEAR BAY,142900,1115
37.75,40,849,255,3.8913,NEAR BAY,126300,1701
37.75,44,946,331,3.225,NEAR BAY,135800,2337
37.74,41,571,191,3.1458,NEAR BAY,130600,1034
37.75,24,1137,386,2.537,NEAR BAY,107900,2244
37.75,44,378,135,2.5568,NEAR BAY,111100,748
37.74,43,853,272,3.5083,NEAR BAY,122000,1658
37.74,49,764,282,3.3125,NEAR BAY,118000,1602
37.75,40,928,261,1.8235,NEAR BAY,95200,1521
37.75,35,406,133,3.8047,NEAR BAY,94300,807
37.74,34,824,280,2.2917,NEAR BAY,92500,1504
37.75,37,835,259,2.4962,NEAR BAY,91800,1666
37.74,43,826,295,4.0417,NEAR BAY,109400,1834
37.74,46,567,211,3.4844,NEAR BAY,129500,1210
37.74,52,355,144,4.1458,NEAR BAY,143400,918
37.74,47,533,166,2.625,NEAR BAY,98200,1047
37.74,44,609,215,2.0227,NEAR BAY,103100,1336
37.9,49,576,236,3.3333,NEAR BAY,276800,1521
37.9,52,594,286,5.338,NEAR BAY,270900,1867
37.89,52,870,377,3.4732,NEAR BAY,246200,2670
37.9,38,1027,509,3.5125,NEAR BAY,224200,2785
37.89,52,693,326,3.1375,NEAR BAY,229100,1920
37.89,46,815,375,2.8036,NEAR BAY,211600,1922
37.9,15,2420,1146,4.5824,NEAR BAY,256100,6295
37.89,36,518,276,3.0208,NEAR BAY,206300,1370
37.89,52,620,275,4.0875,NEAR BAY,221300,1531
37.89,42,551,266,4.5268,NEAR BAY,207400,1633
37.88,37,2556,924,1.7375,NEAR BAY,350000,3991
37.89,52,1498,696,3.1795,NEAR BAY,218200,3869
37.88,50,523,227,3.8672,NEAR BAY,216700,1472
37.89,52,374,153,5.1675,NEAR BAY,270600,1154
37.89,52,1004,371,5.1696,NEAR BAY,261400,2649
37.88,52,769,334,4.2614,NEAR BAY,261300,2176
37.89,52,940,423,5.0551,NEAR BAY,232200,2599
37.9,42,645,256,5.6228,NEAR BAY,375400,1924
37.9,52,705,288,7.8864,NEAR BAY,357300,2206
37.9,52,684,275,7.9556,NEAR BAY,374400,2352
37.9,52,572,236,6.174,NEAR BAY,358800,2043
37.9,52,671,253,6.9414,NEAR BAY,417500,2311
37.89,52,975,365,8.8342,NEAR BAY,430500,3419
37.9,52,779,312,7.1754,NEAR BAY,362900,2646
37.9,52,658,244,10.0825,NEAR BAY,397000,2253
37.9,52,819,335,4.9083,NEAR BAY,346800,2589
37.89,52,412,168,5.7912,NEAR BAY,327100,1394
37.89,52,835,369,4.5893,NEAR BAY,290100,2723
37.89,52,722,306,5.4171,NEAR BAY,292000,2399
37.89,52,1085,487,4.125,NEAR BAY,270900,3089
37.89,52,973,355,7.266,NEAR BAY,371100,3006
37.89,52,723,272,5.3989,NEAR BAY,335600,2271
37.9,37,903,362,7.8336,NEAR BAY,371300,2555
37.89,41,356,181,6.1593,NEAR BAY,344000,1320
37.89,52,1005,462,6.381,NEAR BAY,342200,3572
37.89,52,1205,504,6.6828,NEAR BAY,370900,4237
37.89,37,987,450,7.5385,NEAR BAY,350000,3457
37.89,42,1031,448,6.7138,NEAR BAY,368600,3323
37.88,52,894,404,6.2425,NEAR BAY,391800,2968
37.88,52,823,377,5.7979,NEAR BAY,415300,2665
37.88,52,1232,621,4.2813,NEAR BAY,284900,4008
37.88,52,669,367,3.5417,NEAR BAY,287500,2084
37.88,44,989,550,3.0132,NEAR BAY,272900,2844
37.88,52,1058,464,4.1429,NEAR BAY,259600,2986
37.88,52,506,207,4.1912,NEAR BAY,254500,1393
37.88,52,489,218,3.9167,NEAR BAY,235600,1387
37.88,52,824,388,3.8897,NEAR BAY,218400,2583
37.88,48,1034,475,3.1065,NEAR BAY,229200,2855
37.88,46,920,425,2.9926,NEAR BAY,192100,2337
37.88,52,841,380,3.556,NEAR BAY,179300,2045
37.88,45,749,137,1.475,NEAR BAY,187500,599
37.88,52,208,98,1.6971,NEAR BAY,138800,506
37.87,10,228,100,2.1705,NEAR BAY,150000,621
37.86,50,287,128,2.75,NEAR BAY,140600,626
37.85,52,218,106,2.5682,NEAR BAY,120000,596
37.88,46,854,355,2.9,NEAR BAY,144800,2023
37.87,52,1695,684,2.2208,NEAR BAY,144800,3872
37.88,52,403,172,3.2344,NEAR BAY,245500,1145
37.87,52,288,131,3.5156,NEAR BAY,200000,721
37.87,49,963,521,1.9805,NEAR BAY,173700,2574
37.87,50,1129,516,2.6684,NEAR BAY,185600,2365
37.87,52,386,204,3.875,NEAR BAY,182600,1093
37.88,52,811,406,3.006,NEAR BAY,227900,2325
37.87,46,1293,675,2.543,NEAR BAY,220700,3718
37.87,46,805,431,2.8676,NEAR BAY,212000,2223
37.88,52,1372,876,2.1907,NEAR BAY,271400,3733
37.87,30,862,425,1.7778,NEAR BAY,268800,1904
37.88,37,1152,616,2.52,NEAR BAY,277800,3301
37.88,52,483,249,4.2788,NEAR BAY,332500,1404
37.88,52,1558,573,2.944,NEAR BAY,338900,2967
37.88,52,1798,769,1.725,NEAR BAY,287500,3441
37.87,41,266,123,5.2289,NEAR BAY,384600,826
37.87,42,2184,422,2.5562,NEAR BAY,371400,2221
37.87,52,2016,477,0.949,NEAR BAY,350000,1664
37.87,52,1349,250,1.1696,NEAR BAY,500001,845
37.87,52,3337,350,1.4012,NEAR BAY,175000,1458
37.87,52,1721,949,1.1859,NEAR BAY,241700,3771
37.87,35,1675,1000,1.7464,NEAR BAY,216700,4326
37.87,49,707,350,2.8846,NEAR BAY,211300,1718
37.87,52,1424,694,2.7372,NEAR BAY,210200,3782
37.86,52,393,189,3.8594,NEAR BAY,196400,1133
37.87,52,828,339,3.5625,NEAR BAY,191700,2166
37.87,52,571,292,2.2788,NEAR BAY,182300,1533
37.87,44,1382,713,2.537,NEAR BAY,175000,3294
37.87,46,792,321,2.525,NEAR BAY,165900,1591
37.86,52,815,372,1.9946,NEAR BAY,156900,2069
37.86,52,788,346,2.8214,NEAR BAY,164300,2026
37.87,52,1145,430,2.6165,NEAR BAY,150000,2685
37.86,50,1354,563,1.9483,NEAR BAY,150500,3092
37.86,52,958,445,1.9327,NEAR BAY,169900,2481
37.86,49,1361,608,1.9798,NEAR BAY,147400,3600
37.85,52,1005,449,2.4167,NEAR BAY,152700,2718
37.86,49,924,414,2.5417,NEAR BAY,182700,2487
37.86,52,780,358,3.3906,NEAR BAY,179300,2416
37.86,52,1582,636,2.5652,NEAR BAY,157700,3698
